date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2023-01-01,36005,bronx,no2,17.433333,24,Parts per billion,0110
2023-01-02,36005,bronx,no2,26.466667,24,Parts per billion,0110
2023-01-03,36005,bronx,no2,30.388889,18,Parts per billion,0110
2023-01-04,36005,bronx,no2,25.079167,24,Parts per billion,0110
2023-01-05,36005,bronx,no2,14.083333,24,Parts per billion,0110
2023-01-06,36005,bronx,no2,17.841667,24,Parts per billion,0110
2023-01-07,36005,bronx,no2,14.541667,24,Parts per billion,0110
2023-01-08,36005,bronx,no2,17.758333,24,Parts per billion,0110
2023-01-09,36005,bronx,no2,18.975,24,Parts per billion,0110
2023-01-10,36005,bronx,no2,21.195833,24,Parts per billion,0110
2023-01-11,36005,bronx,no2,18.9,19,Parts per billion,0110
2023-01-12,36005,bronx,no2,20.175,24,Parts per billion,0110
2023-01-13,36005,bronx,no2,17.8875,24,Parts per billion,0110
2023-01-14,36005,bronx,no2,7.775,24,Parts per billion,0110
2023-01-15,36005,bronx,no2,7.483333,24,Parts per billion,0110
2023-01-16,36005,bronx,no2,13.954167,24,Parts per billion,0110
2023-01-17,36005,bronx,no2,36.742857,21,Parts per billion,0110
2023-01-18,36005,bronx,no2,18.820833,24,Parts per billion,0110
2023-01-19,36005,bronx,no2,19.958333,24,Parts per billion,0110
2023-01-20,36005,bronx,no2,15.679167,24,Parts per billion,0110
2023-01-21,36005,bronx,no2,9.145833,24,Parts per billion,0110
2023-01-22,36005,bronx,no2,15.179167,24,Parts per billion,0110
2023-01-23,36005,bronx,no2,12.68,20,Parts per billion,0110
2023-01-24,36005,bronx,no2,13.5625,24,Parts per billion,0110
2023-01-25,36005,bronx,no2,19.629167,24,Parts per billion,0110
2023-01-26,36005,bronx,no2,12.3625,24,Parts per billion,0110
2023-01-27,36005,bronx,no2,18.616667,24,Parts per billion,0110
2023-01-28,36005,bronx,no2,21.125,24,Parts per billion,0110
2023-01-29,36005,bronx,no2,28.058333,24,Parts per billion,0110
2023-01-30,36005,bronx,no2,30.504167,24,Parts per billion,0110
2023-01-31,36005,bronx,no2,36.0,1,Parts per billion,0110
2023-02-01,36005,bronx,no2,15.133333,24,Parts per billion,0110
2023-02-02,36005,bronx,no2,25.483333,24,Parts per billion,0110
2023-02-03,36005,bronx,no2,11.108333,24,Parts per billion,0110
